역코드,역명,영문,전화번호,역주소,환승주차장,자전거보관소,물품보관함,자동사진기,도시철도경찰대,섬식형(아일랜드형),엘리베이터,역명및 지명유래
95,다대포해수욕장역,Dadaepo Beach,051-678-6195,부산광역시 사하구 다대로 지하 692,,O,O,,,,O,큰 포구가 많은 바다라는 데서 비롯되며 일본서기에는 다다라(多多羅)로 기록되어 있다. 이곳은 일찍부터 왜구의 출몰이 잦았으며 따라서 국방상 중요한 요새지였다. 조선 세종 때는 이곳에 수군만호영을 설치 수군 123인과 병선 9척을 배치하였고 성종 때는 높이 4ｍ 둘레 560ｍ의 다대포진을 축성한 바 있으며 임진왜란 때 다대포첨사였던 윤흥신(尹興信)과 그 동생 흥제(興悌)가 왜군과 접전을 벌여 전사한 유서 깊은 곳이다.
96,다대포항역,Dadaepo Harbor,051-678-6196,부산광역시 사하구 다대로 지하 548,,O,O,,,,O,1971년 제1종 어항(지금의 국가어항)으로 지정되면서 개발되기 시작하여 1995년 공사를 완료하였다. 부산 지역엔 총 51개의 어항이 있는데 그중 국가어항은 다대포항과 대변항 두 곳이다. 다대포항은 부산항을 이루고 있는 네 곳의 항구(북항 감천항 다대포항 남항) 중 하나로 원래 목재 화물 부두로 개발되었다. 낙동강 하구에 위치하고 있으며 수심은 2~20m으로 얕고 항역이 좁은 편이다. 바다 밑바닥은 진흙으로 이루어져 있으며 3면이 육지에 둘러싸여 있다. 소형 선박을 정박시키고 피항시키기에 좋은 항구로 주로 고등어 삼치 방어 등의 연안 어획물을 취급한다. 
97,낫개역,Natgae,051-678-6197,부산광역시 사하구 다대로 지하 422,,O,,,,,O,멸치잡이로 유명했던 옛날의 낫개 포구를 그대로 사용
98,신장림역,Sinjangnim,051-678-6198,부산광역시 사하구 다대로 지하 310,,O,,,,,O,지명은 숲이 우거지고 지형적으로 길게 늘어선 동네라는 뜻에서 유래되었다. 안장림  바깥 장림  보덕보(부득포 또는 비득포)의 3개 마을로 구분된다. 장림 지역이 주거지역 공단 병원 등 새로운 중심을 이루고 있어 옛날의 안장림과 바깥장림 식으로 갈라 놓을 수 있다
99,장림역,Jangnim,051-618-6199,부산광역시 사하구 다대로 지하 230,,O,,,,,O,지명은 숲이 우거지고 지형적으로 길게 늘어선 동네라는 뜻에서 유래되었다. 안장림 · 바깥 장림 · 보덕보(부득포 또는 비득포)의 3개 마을로 구분된다. 바깥 장림은 농업을 안장림은 어업을 주업으로 하여 생활하고 있었으며 지금은 주택지구로 바뀌었다. 보덕포는 안장림 서남쪽 바닷가에 있던 마을로서 보득포 · 부득포 · 버득포라고도 하였다. 1983년에 서구에서 사하구 관할로 바뀌었고 같은 해 장림 1 · 2동으로 분동되어 오늘에 이른다.
100,동매역,Dongmae,051-618-6100,부산광역시 사하구 신산로 지하 168,,O,O,,,,O,해발 210ｍ인 산 서쪽에 있는 동매 마을에서 유래
101,신평,Sinpyeong,051-678-6101,부산광역시 사하구 하신번영로 140,O,O,,,,,O,신평은 새로운 평지라는 뜻으로 신촌 새벌 등과 통하는 지명으로 파악된다. 동래군가호안(1904)에 신평동이란 행정지명이 처음으로 기록이 보인다. 
102,하단,Hadan,051-678-6102,부산광역시 사하구 낙동남로 지하 1415,O,O,O,O,,,O,하단동(下端洞)의 옛 마을 이름은 평림리(平林里)라고 불린 일이 있으며 하단리라고 불리기도 했다.
103,당리,Dangni,051-678-6103,부산광역시 사하구 낙동대로 지하 405,,O,,,,,O,당리동(堂里洞)에는 제석골(帝釋谷)이라고 불리는 계곡이 있다 그 제석곡에 사당이 있어 지난날에는 여신을 모셨다고 한다. 그래서 신주를 모신 당집의 곳이라 하여 당리가 되었다는 것이다.
104,사하,Saha,051-678-6104,부산광역시 사하구 낙동대로 지하 309,,O,,,,,O,동래부지(1740)에 의하면 동래군 사천면을 다시 상단과 하단으로 나누는데 上端을 사상지역이고 下端은 사하지역이다.  사천면의 사와 하단의 하를 따서 사하라고 하였다.
