분류번호,사무명,사무개요,신청유형,단순/복합,수수료,수수료내역,보관기간,등록일자,적용일자,폐지일자,소관부처,담당부서
SG4CADM-2015,토지임야대장등본교부 다량신청,토지임야대장등본교부 민원에 대하여 여러 번지를 한번에 신청할 수 있는 민원입니다.,교부,단순민원,,,,2005.05.09,2005.05.09,,공통,공통
9740000-0009,공탁신청(공탁물지급청구 포함),"공탁자가 법령의 규정된 원인에 따라 금전, 유가증권, 그 밖의 물품을 공탁소에 맡기고, 일정한 자가 공탁금을 수령하도록 함으로써 채무변제, 재판상 담보, 강제집행을 면하거나 손해를 피하기 위하여 또는 절차의 완결을 짓기 위한 제도입니다.",승인,단순민원,수수료 없음,수수료 없음,5년,2016.03.14,2016.03.15,,대법원,사법등기국
9740000-0008,친양자입양취소신고,가정법원의 허가를 얻어 친양자 입양을 취소하기 위해 신청하는 민원입니다.,건의,단순민원,수수료 없음,수수료 없음,27년,2016.03.11,2016.03.16,,대법원,가족관계등록과
9740000-0007,친양자파양신고,가정법원의 허가를 얻어 친양자입양을 파양하고자 하는 사람이 재판의 확정일부터 1개월 이내에 가족관계등록 관서의 장에게 신고하는 민원입니다.,건의,단순민원,수수료 없음,수수료 없음,27년,2016.03.15,2016.03.16,,대법원,가족관계등록과
9740000-0006,성·본계속사용신고,부가 혼인외 자를 인지할 때 인지 전의 자녀의 성과 본을 유지할 경우 그 취지를 가족관계등록 관서의 장에게 신고하는 민원입니다.,신고,단순민원,수수료 없음,수수료 없음,27년,2016.04.29,2016.04.29,,대법원,가족관계등록과
9740000-0005,성·본변경신고,자의 복리를 위하여 가정법원의 허가를 얻어 자녀의 성.본을 변경하고자 하는 자가 재판확정일부터 1개월 이내에 가족관계등록 관서의 장에게 신고하는 민원입니다.,건의,단순민원,수수료 없음,수수료 없음,27년,2016.03.15,2016.03.16,,대법원,가족관계등록과
9740000-0004,가족관계등록부 등의 증명서 교부 신청,"국민의 출생.혼인.사망 등 가족관계의 발생 및 변동사항에 관한 증명서(가족관계증명서, 기본증명서, 혼인관계증명서, 입양관계증명서, 친양자입양관계증명서)를 발급 받고자 할 때 신청하는 민원사무입니다.",증명,단순민원,사례별 수수료,"증명서 1통당 1,000원 / 인터넷으로 발급받을 때는 무료임",2년,2016.03.15,2016.03.16,,대법원,가족관계등록과
9740000-0003,건물등기사항증명서,건물등기사항증명서,건의,단순민원,사례별 수수료,"방문신청 통당 1,200원/무인발급기 및 인터넷발급신청 통당 1,000원",없음,2016.03.15,2016.03.16,,대법원,부동산등기과
9740000-0002,토지등기사항증명서,부동산의 존부 및 그 권리관계를 확인하기 위한 사항입니다.,건의,단순민원,사례별 수수료,"방문신청 통당 1,200원/무인발급기 및 인터넷발급신청 통당 1,000원",없음,2016.03.15,2016.03.16,,대법원,부동산등기과
9740000-0001,법인등기사항증명서,법인등기사항증명서,교부,단순민원,사례별 수수료,"방문신청 통당 1,200원/무인발급기 및 인터넷발급신청 통당 1,000원",없음,2016.03.15,2016.03.16,,대법원,사법등기국
1750000-0004,소방기술과 관련된 자격·학력 및 경력의 인정 업무,"소방기술 인정 자격수첩과 경력수첩을 발급받기 위한 자격, 학력, 경력 인정 자격수첩 발급을 위한 첨부서류 확인업무",인정,단순민원,사례별 수수료,소방기술 인정 자격수첩 및 경력수첩 발급 수수료,10년,2016.04.05,2016.07.29,,국민안전처,소방산업과
1750000-0003,소방시설업 휴업.폐업 등의 신고,"소방시설업을 휴업, 폐업, 재개업 신고를 하려는 자가 제출하여야 하는 서류",신고,단순민원,수수료 없음,수수료 없음,10년,2016.04.23,2016.07.29,,국민안전처,소방산업과
1750000-0002,연안체험활동 계획 신고,"① 연안체험활동 운영자는 총리령으로 정하는 절차와 방법에 따라 특별자치도지사·시장·군수·구청장에게 연안체험활동 안전관리 계획서(이하 ""계획서""라 한다)를 작성하여 신고하는 민원입니다.",신고,단순민원,수수료 없음,수수료 없음,10년,2015.04.24,2015.04.30,,국민안전처,해상안전과
1750000-0001,(연안체험활동)안전교육 신청,"안전교육을 받으려는 사람은 별지 제1호서식의 안전교육 신청서를 국민안전처장관[법 제22조제2항 및 「연안사고 예방에 관한 법률 시행령」(이하 ""영""이라 한다) 제11조제2항에 따라 국민안전처장관으로부터 업무를 위탁받은 자를 포함한다]에게 제출하는 민원입니다.",제출,단순민원,수수료 없음,수수료 없음,10년,2015.04.24,2015.04.30,,국민안전처,해상안전과
